yyyy-mm-dd hh:mm:ss,W/m²
2020-06-11 22:30:00,0
2020-06-11 22:45:00,0
2020-06-11 23:00:00,0
2020-06-11 23:15:00,0
2020-06-11 23:30:00,0
2020-06-11 23:45:00,0
2020-06-12 00:00:00,0
2020-06-12 00:15:00,0
2020-06-12 00:30:00,0
2020-06-12 00:45:00,0
2020-06-12 01:00:00,0
2020-06-12 01:15:00,0
2020-06-12 01:30:00,0
2020-06-12 01:45:00,0
2020-06-12 02:00:00,0
2020-06-12 02:15:00,0
2020-06-12 02:30:00,0
2020-06-12 02:45:00,0
2020-06-12 03:00:00,0
2020-06-12 03:15:00,0
2020-06-12 03:30:00,0
2020-06-12 03:45:00,0
2020-06-12 04:00:00,0
2020-06-12 04:15:00,0
2020-06-12 04:30:00,1.2
2020-06-12 04:45:00,2.4
2020-06-12 05:00:00,3.933333333333333
2020-06-12 05:15:00,6.533333333333333
2020-06-12 05:30:00,9.333333333333334
2020-06-12 05:45:00,17.466666666666665
2020-06-12 06:00:00,21.933333333333334
2020-06-12 06:15:00,25.8
2020-06-12 06:30:00,36.666666666666664
2020-06-12 06:45:00,75.06666666666666
2020-06-12 07:00:00,134.53333333333333
2020-06-12 07:15:00,125.4
2020-06-12 07:30:00,81
2020-06-12 07:45:00,59.86666666666667
2020-06-12 08:00:00,80.33333333333333
2020-06-12 08:15:00,110.93333333333334
2020-06-12 08:30:00,147.53333333333333
2020-06-12 08:45:00,304.1333333333333
2020-06-12 09:00:00,420.2
2020-06-12 09:15:00,336.6666666666667
2020-06-12 09:30:00,293.8666666666667
2020-06-12 09:45:00,346.53333333333336
2020-06-12 10:00:00,471.46666666666664
2020-06-12 10:15:00,766.9333333333333
2020-06-12 10:30:00,779.0666666666667
2020-06-12 10:45:00,765.6
2020-06-12 11:00:00,799.9333333333333
2020-06-12 11:15:00,811.8
2020-06-12 11:30:00,807
2020-06-12 11:45:00,741.0666666666667
2020-06-12 12:00:00,522.4
2020-06-12 12:15:00,622.2
2020-06-12 12:30:00,608.8666666666667
2020-06-12 12:45:00,595.3333333333334
2020-06-12 13:00:00,376.93333333333334
2020-06-12 13:15:00,486.8
2020-06-12 13:30:00,595.6
2020-06-12 13:45:00,641.5333333333333
2020-06-12 14:00:00,342.1333333333333
2020-06-12 14:15:00,334.06666666666666
2020-06-12 14:30:00,577.2666666666667
2020-06-12 14:45:00,520.8666666666667
2020-06-12 15:00:00,457.53333333333336
2020-06-12 15:15:00,414.4
2020-06-12 15:30:00,388
2020-06-12 15:45:00,147.6
2020-06-12 16:00:00,372.4
2020-06-12 16:15:00,368
2020-06-12 16:30:00,316.93333333333334
2020-06-12 16:45:00,460.26666666666665
2020-06-12 17:00:00,578.4666666666667
2020-06-12 17:15:00,460.8
2020-06-12 17:30:00,379.6
2020-06-12 17:45:00,150.33333333333334
2020-06-12 18:00:00,140.2
2020-06-12 18:15:00,119.26666666666667
2020-06-12 18:30:00,170.26666666666668
2020-06-12 18:45:00,285.6
2020-06-12 19:00:00,200.6
2020-06-12 19:15:00,196.26666666666668
2020-06-12 19:30:00,221.13333333333333
2020-06-12 19:45:00,112.2
2020-06-12 20:00:00,44.2
2020-06-12 20:15:00,42.46666666666667
2020-06-12 20:30:00,38.06666666666667
2020-06-12 20:45:00,28.8
2020-06-12 21:00:00,21.933333333333334
2020-06-12 21:15:00,14.533333333333333
2020-06-12 21:30:00,7.733333333333333
2020-06-12 21:45:00,0
2020-06-12 22:00:00,0
2020-06-12 22:15:00,0
2020-06-12 22:30:00,0
2020-06-12 22:45:00,0
2020-06-12 23:00:00,0
2020-06-12 23:15:00,0
2020-06-12 23:30:00,0
2020-06-12 23:45:00,0
2020-06-13 00:00:00,0
2020-06-13 00:15:00,0
2020-06-13 00:30:00,0
2020-06-13 00:45:00,0
2020-06-13 01:00:00,0
2020-06-13 01:15:00,0
2020-06-13 01:30:00,0
2020-06-13 01:45:00,0
2020-06-13 02:00:00,0
2020-06-13 02:15:00,0
2020-06-13 02:30:00,0
2020-06-13 02:45:00,0
2020-06-13 03:00:00,0
2020-06-13 03:15:00,0
2020-06-13 03:30:00,0
2020-06-13 03:45:00,0
2020-06-13 04:00:00,0
2020-06-13 04:15:00,0
2020-06-13 04:30:00,2.2
2020-06-13 04:45:00,7.733333333333333
2020-06-13 05:00:00,14.066666666666666
2020-06-13 05:15:00,24.733333333333334
2020-06-13 05:30:00,39.4
2020-06-13 05:45:00,55.13333333333333
